Player,Team,Salary
LeBron James,CLE,10200
James Harden,HOU,10000
Kevin Durant,GS,9600
Stephen Curry,GS,8800
Kyrie Irving,BOS,8300
Chris Paul,HOU,8000
Kevin Love,CLE,7800
Draymond Green,GS,7000
Gordon Hayward,BOS,6700
Isaiah Thomas,CLE,6500
Klay Thompson,GS,6200
Al Horford,BOS,6000
Clint Capela,HOU,5600
Dwyane Wade,CLE,5200
Derrick Rose,CLE,5000
Marcus Smart,BOS,4800
Eric Gordon,HOU,4600
Trevor Ariza,HOU,4500
Jae Crowder,CLE,4300
Ryan Anderson,HOU,4100
Marcus Morris,BOS,4000
Jayson Tatum,BOS,3900
Tristan Thompson,CLE,3900
Bobby Brown,HOU,3800
Terry Rozier,BOS,3800
Shaun Livingston,GS,3700
Jaylen Brown,BOS,3700
Andre Iguodala,GS,3600
Patrick McCaw,GS,3500
P.J. Tucker,HOU,3500
Nene Hilario,HOU,3500
Jose Calderon,CLE,3500
Zaza Pachulia,GS,3400
Tarik Black,HOU,3400
Channing Frye,CLE,3400
J.R. Smith,CLE,3400
Omri Casspi,GS,3300
Aron Baynes,BOS,3300
Kyle Korver,CLE,3300
JaVale McGee,GS,3200
Nick Young,GS,3200
David West,GS,3100
Luc Richard Mbah a Moute,HOU,3100
Michael Gbinije,GS,3000
Georges Niang,GS,3000
Alex Hamilton,GS,3000
Damian Jones,GS,3000
Jordan Bell,GS,3000
Antonius Cleveland,GS,3000
Kevon Looney,GS,3000
Chris Boucher,GS,3000
Zhou Qi,HOU,3000
Chinanu Onuaku,HOU,3000
Cameron Oliver,HOU,3000
George de Paula,HOU,3000
Tim Quarterman,HOU,3000
Troy Williams,HOU,3000
Isaiah Taylor,HOU,3000
Demetrius Jackson,HOU,3000
Chris Johnson,HOU,3000
Abdel Nader,BOS,3000
Jonathan Holmes,BOS,3000
Shane Larkin,BOS,3000
Jabari Bird,BOS,3000
Devin Williams,BOS,3000
Andrew White III,BOS,3000
L.J. Peak,BOS,3000
Semi Ojeleye,BOS,3000
Kadeem Allen,BOS,3000
Daniel Theis,BOS,3000
Guerschon Yabusele,BOS,3000
Ante Zizic,CLE,3000
Edy Tavares,CLE,3000
Cedi Osman,CLE,3000
Kay Felder,CLE,3000
John Holland,CLE,3000
Iman Shumpert,CLE,3000
Richard Jefferson,CLE,3000
Kendrick Perkins,CLE,3000
Jeff Green,CLE,3000
