Player,Team,Salary
Kareem Hunt,KC,8800
Tyreek Hill,KC,6700
T.Y. Hilton,IND,6700
Alex Smith,KC,6400
Travis Kelce,KC,6400
Marcus Mariota,TEN,6300
Michael Crabtree,OAK,6100
Derek Carr,OAK,6000
Jacoby Brissett,IND,5800
Andrew Luck,IND,5700
Amari Cooper,OAK,5500
Rishard Matthews,TEN,5400
DeMarco Murray,TEN,5200
Derrick Henry,TEN,5000
EJ Manuel,OAK,4800
Delanie Walker,TEN,4800
Patrick Mahomes II,KC,4700
Matt Cassel,TEN,4700
Marshawn Lynch,OAK,4600
Frank Gore,IND,4500
Charcandrick West,KC,4400
Scott Tolzien,IND,4300
Eric Decker,TEN,4200
Corey Davis,TEN,4200
Tyler Bray,KC,4000
Connor Cook,OAK,4000
Brandon Weeden,TEN,4000
Jalen Richard,OAK,3900
Marlon Mack,IND,3900
Albert Wilson,KC,3700
DeAndre Washington,OAK,3700
Robert Turbin,IND,3700
Jack Doyle,IND,3700
Donte Moncrief,IND,3700
Seth Roberts,OAK,3600
Jared Cook,OAK,3500
Colts ,IND,3300
Taywan Taylor,TEN,3300
Akeem Hunt,KC,3000
Anthony Sherman,KC,3000
Chris Conley,KC,3000
Demarcus Robinson,KC,3000
Jehu Chesson,KC,3000
De'Anthony Thomas,KC,3000
Jamize Olawale,OAK,3000
Johnny Holton,OAK,3000
Cordarrelle Patterson,OAK,3000
Titans ,TEN,3000
Eric Weems,TEN,3000
Kamar Aiken,IND,3000
George Winn,IND,3000
Jalston Fowler,TEN,3000
David Fluellen,TEN,3000
Quan Bray,IND,3000
Darius Jennings,TEN,3000
Matt Jones,IND,3000
Chester Rogers,IND,3000
Krishawn Hogan,IND,3000
Demetrius Harris,KC,2800
Chiefs ,KC,2800
Erik Swoope,IND,2600
Jonnu Smith,TEN,2600
Ross Travis,KC,2500
James Winchester,KC,2500
Lee Smith,OAK,2500
Clive Walford,OAK,2500
Raiders ,OAK,2500
Beau Brinkley,TEN,2500
Brandon Williams,IND,2500
Henry Krieger-Coble,IND,2500
Phillip Supernaw,TEN,2500
Darrell Daniels,IND,2500
